"","SOU","LL","KM","AI","EN","AS","LER","JT","UEM"
"SOU",0.08426,0.06239,0.05565,0.1382,0.0649,0.10336,0.04772,0.06666,0.069
"LL",0.06239,0.04422,0.03644,0.13056,0.04977,0.08572,0.02782,0.04682,0.04936
"KM",0.05565,0.03644,0.02896,0.12668,0.04334,0.08045,0.02028,0.0398,0.04228
"AI",0.1382,0.13056,0.12668,0.23607,0.14516,0.15183,0.12073,0.13067,0.13382
"EN",0.0649,0.04977,0.04334,0.14516,0.06158,0.09054,0.03528,0.05171,0.05538
"AS",0.10336,0.08572,0.08045,0.15183,0.09054,0.13952,0.07443,0.09056,0.09436
"LER",0.04772,0.02782,0.02028,0.12073,0.03528,0.07443,0.01184,0.0316,0.03415
"JT",0.06666,0.04682,0.0398,0.13067,0.05171,0.09056,0.0316,0.0516,0.05341
"UEM",0.069,0.04936,0.04228,0.13382,0.05538,0.09436,0.03415,0.05341,0.05664
